RedFighter,BlueFighter,RedDecimalOdds,BlueDecimalOdds,RedImpliedProb,BlueImpliedProb,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,EmptyArena
Alexandre Pantoja,Kai Asakura,1.4,3.15,0.6923076923076924,0.3076923076923077,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,True,Flyweight,MALE,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,Orthodox,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,12,Orthodox,165.1,170.18,125,34,31,
Ciryl Gane,Alexander Volkov,1.263157894736842,4.0,0.7600000000000001,0.24000000000000005,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,12,Orthodox,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,9,Orthodox,193.04,205.74,245,34,36,
Bryce Mitchell,Kron Gracie,1.1052631578947367,7.25,0.8677165354330709,0.13228346456692913,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,1,Southpaw,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,7,Southpaw,177.8,177.8,145,30,36,
Nate Landwehr,Dooho Choi,1.7692307692307692,2.1,0.5427435387673957,0.4572564612326044,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,4,Orthodox,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,5,Orthodox,175.26,182.88,145,36,33,
Dominick Reyes,Anthony Smith,1.263157894736842,4.0,0.7600000000000001,0.24000000000000005,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,15,Orthodox,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,7,Southpaw,193.04,195.58,205,34,36,
Movsar Evloev,Aljamain Sterling,1.4201680672268908,2.95,0.6750312469954812,0.3249687530045188,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,16,Orthodox,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,8,Orthodox,170.18,182.88,145,30,35,
Randy Brown,Bryan Battle,2.5,1.5555555555555556,0.3835616438356164,0.6164383561643836,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,6,Orthodox,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,13,Orthodox,190.5,198.12,170,34,30,
Chris Weidman,Eryk Anders,1.8928571428571428,1.925925925925926,0.5043297540699688,0.4956702459300312,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,8,Southpaw,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,12,Orthodox,187.96,198.12,185,40,37,
Cody Durden,Joshua Van,2.42,1.5882352941176472,0.3962430290578221,0.6037569709421778,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,4,Orthodox,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,6,Southpaw,170.18,170.18,125,33,23,
Michael Chiesa,Max Griffin,1.7692307692307692,2.1,0.5427435387673957,0.4572564612326044,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,8,Orthodox,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,12,Southpaw,185.42,190.5,170,37,39,
Clay Guida,Chase Hooper,8.0,1.0909090909090908,0.12000000000000002,0.8800000000000001,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,3,0,5.08,0.52,2.3,1.45,0.24,3,3,23,0,7,Southpaw,185.42,187.96,155,2,0,0,2.64,0.33,0.6,3.13,0.36,4,19,105,2,20,Orthodox,170.18,177.8,155,42,25,
Kennedy Nzechukwu,Lukasz Brzeski,1.1818181818181819,5.1,0.8118668596237336,0.18813314037626627,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,4,14,0,2,Orthodox,193.04,198.12,236,0,1,0,5.34,0.47,0.2,0.58,0.45,3,5,31,0,9,Southpaw,195.58,210.82,205,32,32,
Petr Yan,Deiveson Figueiredo,1.3278688524590163,3.45,0.7220792588780237,0.27792074112197634,2024-11-23,"Macau, China",China,Red,False,Bantamweight,MALE,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,13,Orthodox,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,9,Switch,170.18,170.18,135,31,36,
Yan Xiaonan,Tabatha Ricci,1.5050505050505052,2.6399999999999997,0.6369041816941223,0.3630958183058778,2024-11-23,"Macau, China",China,Red,False,Women's Strawweight,FEMALE,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,6,Orthodox,154.94,154.94,115,1,0,0,4.99,0.45,0.0,0.92,0.73,6,3,34,1,8,Orthodox,165.1,160.02,115,35,29,
Wang Cong,Gabriella Fernandes,1.1052631578947367,8.5,0.8849315068493151,0.11506849315068494,2024-11-23,"Macau, China",China,Blue,False,Women's Flyweight,FEMALE,3,0,1,0,3.46,0.46,0.3,0.56,0.18,1,2,9,0,1,Southpaw,167.64,167.64,125,0,2,0,5.81,0.46,2.3,1.16,0.5,2,0,2,0,2,Southpaw,167.64,167.64,125,32,31,
Volkan Oezdemir,Carlos Ulberg,3.15,1.3773584905660377,0.30423004792665137,0.6957699520733487,2024-11-23,"Macau, China",China,Blue,False,Light Heavyweight,MALE,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,7,Orthodox,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,8,Orthodox,187.96,190.5,205,35,34,
Zhang Mingyang,Ozzy Diaz,1.4444444444444444,3.1,0.6821515892420539,0.31784841075794623,2024-11-23,"Macau, China",China,Red,False,Light Heavyweight,MALE,3,1,0,0,2.21,0.43,0.0,0.0,0.0,0,1,2,0,0,Orthodox,193.04,200.66,205,0,2,0,8.57,0.55,0.0,0.0,0.0,2,0,2,0,2,Orthodox,187.96,190.5,205,26,34,
Baergeng Jieleyisi,SuYoung You,2.9,1.434782608695652,0.33099297893681046,0.6690070210631895,2024-11-23,"Macau, China",China,Blue,False,Bantamweight,MALE,3,0,2,0,2.11,0.42,0.3,4.67,0.58,2,0,6,0,2,Orthodox,167.64,165.1,135,0,2,0,1.75,0.38,0.3,1.65,0.75,2,1,8,0,2,Orthodox,175.26,177.8,135,28,28,
Kiru Sahota,DongHun Choi,2.02,1.819672131147541,0.4739134147382802,0.5260865852617197,2024-11-23,"Macau, China",China,Blue,False,Flyweight,MALE,3,0,2,0,4.54,0.66,0.0,0.46,0.14,2,0,6,0,2,Switch,165.1,167.64,125,0,2,0,4.05,0.52,0.5,0.92,0.33,2,0,6,0,2,Orthodox,177.8,185.42,125,29,25,
Shi Ming,Feng Xiaocan,4.8,1.2040816326530612,0.2005438477226377,0.7994561522773624,2024-11-23,"Macau, China",China,Red,False,Women's Strawweight,FEMALE,3,0,2,0,5.43,0.5,0.0,1.08,1.0,2,0,4,0,2,Southpaw,170.18,167.64,115,0,2,0,3.48,0.39,0.0,0.37,0.16,2,0,6,0,2,Orthodox,157.48,152.4,115,30,22,
Nyamjargal Tumendemberel,Carlos Hernandez,2.02,1.819672131147541,0.4739134147382802,0.5260865852617197,2024-11-23,"Macau, China",China,Blue,False,Flyweight,MALE,3,2,0,0,3.9,0.45,0.2,1.6,0.21,2,3,15,0,3,Orthodox,172.72,170.18,125,0,2,0,3.13,0.38,2.4,2.42,0.31,2,0,4,0,2,Orthodox,170.18,180.34,125,26,31,
Lone'er Kavanagh,Jose Ochoa,1.3225806451612903,3.5,0.725752508361204,0.27424749163879597,2024-11-23,"Macau, China",China,Red,False,Flyweight,MALE,3,0,0,0,3.33,0.31,1.0,0.0,0.0,0,0,0,0,0,Southpaw,170.18,170.18,125,0,1,0,3.62,0.43,0.0,0.0,0.0,1,0,1,0,1,Orthodox,162.56,170.18,125,25,23,
Xiao Long,Quang Le,1.6944444444444444,2.3600000000000003,0.5820772814469718,0.4179227185530282,2024-11-23,"Macau, China",China,Red,False,Bantamweight,MALE,3,1,0,0,3.02,0.35,0.0,1.7,0.23,0,1,3,0,0,Orthodox,167.64,177.8,135,1,0,0,5.4,0.5,0.0,0.84,0.25,2,2,12,0,2,Orthodox,172.72,177.8,135,26,33,
Maheshate,Nikolas Motta,1.4081632653061225,3.0,0.6805555555555556,0.3194444444444444,2024-11-23,"Macau, China",China,Blue,False,Lightweight,MALE,3,0,1,0,3.64,0.37,0.0,0.0,0.0,1,2,11,0,3,Orthodox,175.26,177.8,155,0,1,0,3.86,0.29,0.0,0.0,0.0,2,2,12,0,3,Orthodox,182.88,180.34,155,24,31,
Jon Jones,Stipe Miocic,1.1818181818181819,5.1,0.8118668596237336,0.18813314037626627,2024-11-16,"New York City, New York, USA",USA,Red,True,Heavyweight,MALE,5,1,0,0,4.67,0.52,0.0,1.74,0.34,6,4,46,8,14,Orthodox,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,21,Orthodox,193.04,213.36,248,37,42,
Charles Oliveira,Michael Chandler,1.3773584905660377,3.15,0.6957699520733487,0.30423004792665137,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,4,Orthodox,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,22,Orthodox,177.8,187.96,155,35,38,
Bo Nickal,Paul Craig,1.074074074074074,9.0,0.8933823529411765,0.10661764705882354,2024-11-16,"New York City, New York, USA",USA,Red,False,Middleweight,MALE,3,2,0,1,2.52,0.44,1.4,1.52,0.2,4,8,34,0,9,Orthodox,190.5,193.04,185,0,5,0,2.65,0.63,3.6,3.61,0.5,5,0,6,0,5,Southpaw,185.42,193.04,185,28,36,
Viviane Araujo,Karine Silva,3.35,1.3448275862068966,0.28644876973925815,0.7135512302607419,2024-11-16,"New York City, New York, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,5,Orthodox,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,6,Orthodox,162.56,172.72,125,37,30,
Mauricio Ruffy,James Llontop,1.1,7.5,0.8720930232558138,0.12790697674418605,2024-11-16,"New York City, New York, USA",USA,Red,False,Catch Weight,MALE,3,2,0,0,5.57,0.41,0.0,0.0,0.0,1,2,7,0,1,Orthodox,182.88,185.42,155,0,2,0,4.7,0.59,0.0,0.0,0.0,2,0,4,0,2,Orthodox,180.34,190.5,155,28,25,
Jonathan Martinez,Marcus McGhee,1.9523809523809523,1.8695652173913042,0.4891657638136511,0.5108342361863488,2024-11-16,"New York City, New York, USA",USA,Blue,False,Bantamweight,MALE,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,3,Orthodox,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,10,Southpaw,172.72,177.8,135,30,34,
Jim Miller,Damon Jackson,2.95,1.4201680672268908,0.3249687530045188,0.6750312469954812,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,1,0,1,2.96,0.42,1.2,2.3,0.32,4,5,30,0,6,Switch,180.34,180.34,155,1,0,0,2.99,0.42,1.7,1.52,0.44,7,17,99,0,26,Southpaw,172.72,180.34,155,41,36,
David Onama,Roberto Romero,1.0689655172413792,9.5,0.8988580750407831,0.10114192495921696,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,0,0,0,4.93,0.47,0.0,0.0,0.0,0,0,0,0,0,Orthodox,172.72,177.8,155,0,2,0,5.6,0.5,0.6,0.73,0.2,2,2,14,0,4,Orthodox,180.34,187.96,145,30,24,
Marcin Tybura,Jhonata Diniz,1.9523809523809523,1.8695652173913042,0.4891657638136511,0.5108342361863488,2024-11-16,"New York City, New York, USA",USA,Red,False,Heavyweight,MALE,3,0,3,0,3.36,0.53,0.0,0.0,0.0,3,0,6,0,3,Orthodox,193.04,200.66,254,1,0,0,3.57,0.49,0.1,1.42,0.33,5,8,49,0,12,Orthodox,190.5,198.12,249,39,33,
Mickey Gall,Ramiz Brahimaj,1.5882352941176472,2.42,0.6037569709421778,0.3962430290578221,2024-11-16,"New York City, New York, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,2.26,0.44,1.5,1.51,0.35,1,3,11,0,2,Orthodox,177.8,182.88,170,3,0,0,3.5,0.49,1.6,1.15,0.32,3,6,24,0,6,Switch,187.96,187.96,170,32,31,
Bassil Hafez,Oban Elliott,3.5,1.3225806451612903,0.27424749163879597,0.725752508361204,2024-11-16,"New York City, New York, USA",USA,Blue,False,Welterweight,MALE,3,0,3,0,4.26,0.49,0.0,2.16,0.5,3,0,9,0,3,Orthodox,182.88,182.88,170,0,1,0,3.71,0.38,0.0,2.21,0.24,1,1,6,0,1,Orthodox,180.34,182.88,170,32,26,
Neil Magny,Carlos Prates,6.5,1.125,0.1475409836065574,0.8524590163934427,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,5,0,4,0,4.39,0.57,0.0,0.44,1.0,4,0,7,0,4,Switch,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,22,Orthodox,190.5,203.2,170,37,31,
Gerald Meerschaert,Reinier de Ridder,3.5,1.3225806451612903,0.27424749163879597,0.725752508361204,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,0,0,3.24,0.57,1.3,6.39,0.38,0,0,0,0,0,Southpaw,193.04,198.12,185,0,2,0,3.1,0.45,1.5,2.01,0.35,3,9,43,0,12,Southpaw,185.42,195.58,185,36,34,
Gaston Bolanos,Cortavious Romious,3.05,1.4,0.31460674157303364,0.6853932584269663,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,2.1,0.37,1.0,1.97,0.66,1,1,4,0,1,Southpaw,162.56,172.72,135,1,0,0,3.74,0.5,0.0,0.78,1.0,1,1,5,0,1,Orthodox,170.18,175.26,135,32,30,
Luana Pinheiro,Gillian Robertson,4.6,1.2127659574468086,0.20863836017569545,0.7913616398243045,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,2.89,0.48,1.0,2.68,0.39,2,6,37,0,11,Orthodox,165.1,160.02,115,2,0,0,3.42,0.4,0.2,1.8,0.33,4,2,13,0,4,Orthodox,157.48,157.48,115,31,29,
Mansur Abdul-Malik,Dusko Todorovic,1.2061855670103092,4.7,0.7957758771164253,0.2042241228835748,2024-11-09,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,5.35,0.57,0.0,0.92,0.12,2,4,14,0,4,Orthodox,185.42,187.96,185,0,1,0,6.61,0.54,0.0,0.0,0.0,1,0,2,0,1,Orthodox,187.96,200.66,185,27,30,
Brandon Moreno,Amir Albazi,1.5555555555555556,2.5,0.6164383561643836,0.3835616438356164,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Flyweight,MALE,5,0,5,0,2.72,0.34,0.5,1.39,0.32,5,0,13,0,5,Orthodox,165.1,172.72,125,2,0,2,3.99,0.43,0.4,1.59,0.46,3,5,53,6,9,Orthodox,170.18,177.8,125,30,31,
Erin Blanchfield,Rose Namajunas,1.6451612903225805,2.3,0.5829926410466066,0.4170073589533933,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Women's Flyweight,FEMALE,3,0,2,0,3.71,0.42,0.4,1.46,0.5,3,5,52,7,11,Orthodox,165.1,165.1,125,1,0,0,5.24,0.44,0.8,1.86,0.31,6,1,19,0,6,Orthodox,162.56,167.64,125,25,32,
Caio Machado,Brendson Ribeiro,1.5208333333333335,2.6,0.6309403437815976,0.3690596562184025,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Light Heavyweight,MALE,3,2,0,0,3.16,0.42,0.4,1.27,0.5,1,2,5,0,1,Orthodox,190.5,205.74,205,2,0,0,5.82,0.53,0.0,0.0,0.0,1,2,9,0,1,Southpaw,193.04,198.12,250,30,28,
Ariane da Silva,Jasmine Jasudavicius,2.9,1.4,0.32558139534883723,0.6744186046511629,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,3.7,0.44,0.6,2.5,0.43,2,2,24,0,6,Orthodox,170.18,172.72,125,1,0,0,4.04,0.41,0.3,0.52,0.55,3,6,29,0,6,Orthodox,167.64,170.18,125,30,35,
Marc-Andre Barriault,Dustin Stoltzfus,1.3703703703703702,3.2,0.7001620745542949,0.299837925445705,2024-11-02,"Edmonton, Alberta, Canada",Canada,Blue,False,Middleweight,MALE,3,1,0,0,3.47,0.44,1.1,2.31,0.41,1,5,17,0,3,Orthodox,182.88,190.5,185,2,0,0,5.98,0.47,0.1,0.21,0.25,2,7,31,0,5,Orthodox,185.42,187.96,185,34,32,
Mike Malott,Trevin Giles,1.2666666666666666,3.95,0.7571884984025559,0.2428115015974441,2024-11-02,"Edmonton, Alberta, Canada",Canada,Red,False,Welterweight,MALE,3,2,0,0,3.17,0.54,0.3,1.07,0.5,3,6,32,0,7,Orthodox,182.88,187.96,170,1,0,0,3.85,0.46,0.8,2.27,0.56,4,1,8,0,4,Orthodox,185.42,185.42,170,32,32,
Ilia Topuria,Max Holloway,1.3278688524590163,3.45,0.7220792588780237,0.27792074112197634,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Featherweight,MALE,5,0,3,0,7.16,0.47,0.3,0.25,0.53,13,7,98,9,22,Orthodox,180.34,175.26,145,0,7,0,4.69,0.47,1.1,2.02,0.61,7,0,16,1,7,Orthodox,170.18,175.26,145,27,32,
Robert Whittaker,Khamzat Chimaev,3.0,1.4081632653061225,0.3194444444444444,0.6805555555555556,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Middleweight,MALE,3,0,7,0,5.36,0.58,2.8,4.31,0.46,7,0,12,0,7,Orthodox,187.96,190.5,185,0,2,0,4.54,0.43,0.0,0.8,0.38,9,5,64,4,17,Orthodox,182.88,185.42,185,33,30,
Magomed Ankalaev,Aleksandar Rakic,1.2941176470588236,3.7,0.740871613663133,0.2591283863368669,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,2,0,0,4.16,0.5,0.1,0.66,0.23,4,3,22,0,6,Orthodox,193.04,198.12,205,0,10,1,3.64,0.52,0.0,0.92,0.31,9,1,33,1,10,Orthodox,190.5,190.5,205,32,32,
Lerone Murphy,Dan Ige,1.2941176470588236,3.7,0.740871613663133,0.2591283863368669,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Featherweight,MALE,3,1,0,0,3.66,0.45,0.2,0.99,0.26,6,7,49,0,11,Orthodox,170.18,180.34,145,0,6,1,4.8,0.54,0.6,1.78,0.54,6,0,20,0,6,Orthodox,175.26,185.42,145,33,33,
Shara Magomedov,Armen Petrosyan,1.6024096385542168,2.4,0.5996387718242023,0.4003612281757977,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,1,0,0,5.95,0.52,0.0,0.19,0.33,2,2,14,0,4,Orthodox,190.5,180.34,185,0,3,0,6.82,0.65,0.0,0.0,0.0,3,0,9,0,3,Orthodox,187.96,185.42,185,30,33,
Ibo Aslan,Rafael Cerqueira,1.925925925925926,1.8928571428571428,0.4956702459300312,0.5043297540699688,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,MALE,3,0,0,0,1.18,0.1,0.0,0.0,0.0,0,0,0,0,0,Southpaw,190.5,193.04,205,0,2,0,8.34,0.5,0.0,0.0,0.0,2,0,4,0,2,Orthodox,190.5,195.58,205,28,34,
Geoff Neal,Rafael Dos Anjos,1.4081632653061225,3.0,0.6805555555555556,0.3194444444444444,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Welterweight,MALE,3,2,0,0,3.48,0.47,0.6,1.95,0.35,5,14,111,4,21,Southpaw,172.72,177.8,170,2,0,0,5.05,0.51,0.1,0.56,0.5,6,4,30,0,8,Southpaw,180.34,190.5,170,34,40,
Mateusz Rebecki,Myktybek Orolbai,3.15,1.3773584905660377,0.30423004792665137,0.6957699520733487,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Catch Weight,MALE,3,0,2,0,3.42,0.48,0.4,5.36,0.43,2,0,5,0,2,Orthodox,177.8,187.96,155,1,0,0,4.7,0.48,0.8,3.84,0.75,4,1,10,0,4,Southpaw,170.18,167.64,155,31,26,
Abus Magomedov,Brunno Ferreira,1.6451612903225805,2.3,0.5829926410466066,0.4170073589533933,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,0,2,0,3.76,0.5,0.5,0.5,0.16,2,1,5,0,4,Orthodox,177.8,182.88,185,0,1,0,2.65,0.44,0.3,3.12,0.64,1,2,9,0,2,Orthodox,187.96,198.12,185,34,31,
Kennedy Nzechukwu,Chris Barnett,1.125,6.5,0.8524590163934427,0.1475409836065574,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Heavyweight,MALE,3,0,1,0,4.21,0.47,0.0,0.0,0.0,1,2,9,0,2,Orthodox,175.26,190.5,265,2,0,0,5.34,0.47,0.2,0.58,0.45,3,5,30,0,8,Southpaw,195.58,210.82,205,32,38,
Farid Basharat,Victor Hugo,1.1739130434782608,5.25,0.817258883248731,0.18274111675126903,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Featherweight,MALE,3,0,2,0,3.27,0.44,1.2,0.81,0.33,2,0,5,0,2,Orthodox,170.18,180.34,135,0,4,0,4.36,0.55,0.5,3.97,0.44,4,0,10,0,4,Orthodox,172.72,180.34,135,27,31,
Ismail Naurdiev,Bruno Silva,1.6756756756756757,2.24,0.5720596355604638,0.42794036443953615,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,3,0,0,3.85,0.47,0.0,0.78,0.23,3,5,19,0,4,Orthodox,182.88,187.96,185,1,0,0,3.41,0.53,0.2,1.6,0.4,1,2,12,0,2,Orthodox,177.8,187.96,185,28,35,
Rinat Fakhretdinov,Carlos Leal,1.4587155963302751,2.8,0.6574752261956054,0.34252477380439467,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Welterweight,MALE,3,0,0,0,7.13,0.43,0.0,1.0,0.25,0,0,0,0,0,Orthodox,180.34,187.96,170,0,4,1,4.78,0.52,0.2,3.95,0.34,3,0,13,0,4,Orthodox,182.88,187.96,170,33,30,
Anthony Hernandez,Michel Pereira,1.617283950617284,2.3600000000000003,0.593369754159424,0.4066302458405761,2024-10-19,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,5,0,8,0,4.46,0.53,0.8,1.27,0.52,8,2,25,0,9,Orthodox,185.42,185.42,185,0,5,0,4.9,0.63,2.3,6.64,0.44,5,2,19,0,6,Orthodox,182.88,190.5,185,31,31,
Rob Font,Kyler Phillips,5.55,1.16,0.17287630402384502,0.827123695976155,2024-10-19,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,3,0,5.28,0.44,0.4,2.63,0.51,4,1,21,0,7,Orthodox,172.72,182.88,135,2,0,0,5.44,0.45,0.3,0.84,0.34,4,7,46,0,10,Orthodox,172.72,180.34,135,37,29,
Charles Johnson,Sumudaerji,1.3278688524590163,3.45,0.7220792588780237,0.27792074112197634,2024-10-19,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,2,0,0,4.72,0.53,0.9,0.23,0.25,3,3,12,0,3,Southpaw,172.72,182.88,125,0,3,0,4.77,0.5,0.4,0.56,0.23,3,4,25,0,5,Switch,175.26,177.8,125,33,28,
Jake Hadley,Cameron Smotherman,1.1739130434782608,5.25,0.817258883248731,0.18274111675126903,2024-10-19,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,1,0,0,6.25,0.37,0.0,0.0,0.0,0,1,1,0,0,Orthodox,175.26,175.26,135,0,1,0,3.8,0.43,1.1,0.33,0.11,2,3,17,0,4,Southpaw,170.18,177.8,135,28,27,
Darren Elkins,Daniel Pineda,1.5882352941176472,2.42,0.6037569709421778,0.3962430290578221,2024-10-19,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,2,0,0,2.85,0.49,1.5,1.42,0.24,2,7,27,0,5,Orthodox,170.18,175.26,145,0,1,0,3.4,0.38,1.1,2.86,0.34,6,10,72,0,18,Orthodox,177.8,180.34,145,40,39,
Matheus Nicolau,Asu Almabayev,3.05,1.4,0.31460674157303364,0.6853932584269663,2024-10-19,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,0,3,0,2.11,0.56,1.7,5.08,0.5,3,0,8,0,3,Orthodox,162.56,165.1,125,2,0,0,3.31,0.51,0.8,1.22,0.43,4,3,24,0,7,Orthodox,167.64,167.64,125,31,30,
Brad Katona,Jean Matsumoto,2.7,1.4878048780487805,0.35527082119976705,0.644729178800233,2024-10-19,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,2,0,5.2,0.4,0.4,1.13,0.27,2,0,5,0,2,Orthodox,167.64,172.72,135,0,1,0,4.84,0.52,0.0,1.88,0.34,2,3,21,1,4,Orthodox,167.64,162.56,135,32,25,
